,date,region,population,sample_size,reach,sample_size_recent,reach_recent,p_infected,p_infected_low,p_infected_high,p_fatalities,p_fatalities_low,p_fatalities_high,p_hospital,p_hospital_low,p_hospital_high,p_recent,p_recent_low,p_recent_high,p_daily,p_daily_low,p_daily_high,p_active,p_active_low,p_active_high
42,2022/12/08,USSD,884659,1,18,0,0,0.888888888888889,0.743706371515552,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,2022/12/08,USTN,6833174,9,355,3,100,0.656338028169014,0.606933877527014,0.705742178811014,0.0163934426229508,0.00214248785891586,0.0306443973869858,0.0721311475409836,0.0430974137707571,0.10116488131121,0,0,0,0,0,0,0.01,0,0.0295013954179879
44,2022/12/08,USTX,28995881,74,1572,27,512,0.411577608142494,0.387250399203964,0.435904817081024,0.00909727081875437,0.00417457443537807,0.0140199672021307,0.0342066957787482,0.0245960541679127,0.0438173373895836,0.0462776659959759,0.0278076786982136,0.0647476532937381,0.00661109514228226,0,0.0137357897385004,0.017578125,0.00619534356701996,0.02896090643298
45,2022/12/08,USUT,3205958,8,385,3,140,0.202597402597403,0.162448517863192,0.242746287331613,0.0028169014084507,0,0.00833014514118277,0.0197183098591549,0.00525578217062814,0.0341808375476817,0.00714285714285714,0,0.0210925112039575,0.00102040816326531,0,0.00630911316711504,0.00714285714285714,0,0.0210925112039575
46,2022/12/08,USVA,8535519,19,523,13,278,0.376673040152964,0.335145379134216,0.418200701171711,0.00211864406779661,0,0.00626670900559195,0.0338983050847458,0.0175723910361643,0.0502242191333273,0.0179856115107914,0.00236323059638154,0.0336079924252012,0.00256937307297019,0,0.00852024532046725,0.0179856115107914,0.00236323059638154,0.0336079924252012
47,2022/12/08,USVT,623989,1,100,0,0,0.35,0.256515676089094,0.443484323910906,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,2022/12/08,USWA,7614893,25,734,9,225,0.396457765667575,0.361070063885012,0.431845467450138,0.00443786982248521,0,0.00944854449855856,0.0166414523449319,0.00688933490373054,0.0263935697861333,0.00952380952380952,0,0.0226598904177196,0.00253968253968254,0,0.00911617553716182,0.00952380952380952,0,0.0226598904177196
49,2022/12/08,USWI,5822434,13,564,5,250,0.526595744680851,0.485389475961013,0.567802013400689,0,0,0,0.0108303249097473,0.00221147439532754,0.019449175424167,0.04,0.0157090948118721,0.0642909051881279,0.00571428571428571,0,0.0150578948394677,0.004,0,0.011824160515134
50,2022/12/08,USWV,1792147,5,163,2,110,0.932515337423313,0.894004335202678,0.971026339643948,0,0,0,0.0122699386503067,0,0.0291702466801882,0,0,0,0,0,0,0,0,0
51,2022/12/08,USWY,578759,1,50,1,50,0.2,0.0891276940520258,0.310872305947974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
